id,marca,modelo,plataforma_compra,calificacion,sentimiento,aspecto_principal,comentario
2525,Samsung,Galaxy A35,Tienda Oficial Samsung,1,Negativo,servicio al cliente,La batería dura muy poco
2526,Samsung,Galaxy A55,Mercado Libre,4,Positivo,rendimiento,Llegó antes de la fecha prometida y en perfectas condiciones
2527,Samsung,Galaxy S24,Tienda Oficial Samsung,4,Positivo,almacenamiento,Llegó antes de la fecha prometida y en perfectas condiciones
2528,Huawei,Mate 50,Tienda Oficial Huawei,4,Positivo,precio,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2529,Xiaomi,Poco X6,Amazon,4,Positivo,rendimiento,La pantalla tiene muy buena calidad y la entrega fue puntual
2530,Xiaomi,Redmi Note 13,Amazon,2,Negativo,servicio al cliente,La cámara no cumple con lo prometido
2531,Samsung,Galaxy A55,Tienda Oficial Samsung,4,Positivo,pantalla,El servicio fue excelente y recibí el producto rápidamente
2532,Motorola,Moto G84,Mercado Libre,5,Positivo,batería,"Gran relación calidad precio, recomendado"
2533,Apple,iPhone 14,Mercado Libre,3,Neutral,cámara,El producto llegó correctamente aunque tardó algunos días
2534,Huawei,Nova 12,Tienda Oficial Huawei,4,Positivo,batería,Muy buena cámara y excelente rendimiento
2535,Apple,iPhone 16e,Amazon,4,Positivo,entrega,Llegó antes de la fecha prometida y en perfectas condiciones
2536,Huawei,Mate 50,Amazon,5,Positivo,batería,"Gran relación calidad precio, recomendado"
2537,Huawei,P60,Tienda Oficial Huawei,4,Positivo,pantalla,Muy buena cámara y excelente rendimiento
2538,Xiaomi,Redmi Note 13,Amazon,5,Positivo,precio,Superó mis expectativas en rendimiento y batería
2539,Apple,iPhone 14,Amazon,4,Positivo,entrega,Muy buena cámara y excelente rendimiento
2540,Huawei,Mate 50,Mercado Libre,5,Positivo,almacenamiento,La pantalla tiene muy buena calidad y la entrega fue puntual
2541,Motorola,Edge 50,Tienda Oficial Motorola,3,Neutral,entrega,Tiene ventajas y desventajas según el uso
2542,Motorola,Edge 50,Amazon,1,Negativo,precio,Presentó fallas después de pocos días
2543,Huawei,P60,Tienda Oficial Huawei,5,Positivo,pantalla,Llegó antes de la fecha prometida y en perfectas condiciones
2544,Apple,iPhone 15,Tienda Oficial Apple,3,Neutral,almacenamiento,Tiene ventajas y desventajas según el uso
2545,Apple,iPhone 16e,Tienda Oficial Apple,3,Neutral,precio,Es un equipo normal para el uso diario
2546,Huawei,Mate 50,Tienda Oficial Huawei,1,Negativo,cámara,La atención al cliente fue deficiente y la entrega tardó mucho
2547,Huawei,Mate 50,Mercado Libre,5,Positivo,rendimiento,Muy buena cámara y excelente rendimiento
2548,Huawei,Mate 50,Mercado Libre,4,Positivo,precio,Llegó antes de la fecha prometida y en perfectas condiciones
2549,Motorola,Moto G54,Amazon,3,Neutral,batería,La cámara es aceptable para su precio
2550,Huawei,Nova 12,Tienda Oficial Huawei,4,Positivo,rendimiento,"Gran relación calidad precio, recomendado"
2551,Samsung,Galaxy A55,Mercado Libre,3,Neutral,servicio al cliente,La batería tiene un rendimiento promedio
2552,Samsung,Galaxy S24,Mercado Libre,5,Positivo,servicio al cliente,La pantalla tiene muy buena calidad y la entrega fue puntual
2553,Apple,iPhone 14,Mercado Libre,2,Negativo,almacenamiento,El equipo se calienta demasiado durante el uso
2554,Motorola,Moto G84,Mercado Libre,3,Neutral,almacenamiento,La batería tiene un rendimiento promedio
2555,Apple,iPhone 16e,Mercado Libre,3,Neutral,cámara,La batería tiene un rendimiento promedio
2556,Xiaomi,Redmi Note 14,Tienda Oficial Xiaomi,5,Positivo,almacenamiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2557,Huawei,Mate 50,Mercado Libre,3,Neutral,almacenamiento,El producto llegó correctamente aunque tardó algunos días
2558,Samsung,Galaxy S24,Tienda Oficial Samsung,5,Positivo,pantalla,Superó mis expectativas en rendimiento y batería
2559,Huawei,P60,Tienda Oficial Huawei,3,Neutral,pantalla,El celular cumple con lo esperado
2560,Xiaomi,Redmi Note 13,Mercado Libre,4,Positivo,precio,La pantalla tiene muy buena calidad y la entrega fue puntual
2561,Xiaomi,Redmi Note 14,Tienda Oficial Xiaomi,3,Neutral,batería,Es un equipo normal para el uso diario
2562,Motorola,Edge 50,Amazon,5,Positivo,pantalla,Muy buena cámara y excelente rendimiento
2563,Motorola,Moto G54,Amazon,2,Negativo,batería,El rendimiento es lento para algunas aplicaciones
2564,Xiaomi,Poco X6,Amazon,4,Positivo,batería,Muy buena cámara y excelente rendimiento
2565,Apple,iPhone 16e,Amazon,4,Positivo,cámara,Superó mis expectativas en rendimiento y batería
2566,Huawei,P60,Tienda Oficial Huawei,3,Neutral,almacenamiento,La cámara es aceptable para su precio
2567,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,3,Neutral,almacenamiento,Es un equipo normal para el uso diario
2568,Xiaomi,Redmi Note 14,Mercado Libre,4,Positivo,servicio al cliente,Muy buena cámara y excelente rendimiento
2569,Apple,iPhone 15,Amazon,3,Neutral,batería,Es un equipo normal para el uso diario
2570,Huawei,P60,Amazon,5,Positivo,servicio al cliente,Muy satisfecho con la compra y el tiempo de entrega
2571,Xiaomi,Poco X6,Mercado Libre,5,Positivo,rendimiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2572,Samsung,Galaxy S24,Amazon,3,Neutral,precio,Tiene ventajas y desventajas según el uso
2573,Apple,iPhone 16e,Tienda Oficial Apple,3,Neutral,precio,La cámara es aceptable para su precio
2574,Huawei,Mate 50,Amazon,5,Positivo,pantalla,Llegó antes de la fecha prometida y en perfectas condiciones
2575,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,4,Positivo,rendimiento,El servicio fue excelente y recibí el producto rápidamente
2576,Samsung,Galaxy A35,Tienda Oficial Samsung,3,Neutral,cámara,Tiene ventajas y desventajas según el uso
2577,Apple,iPhone 16e,Amazon,4,Positivo,pantalla,"Gran relación calidad precio, recomendado"
2578,Samsung,Galaxy A55,Tienda Oficial Samsung,5,Positivo,pantalla,Llegó antes de la fecha prometida y en perfectas condiciones
2579,Samsung,Galaxy A35,Mercado Libre,1,Negativo,precio,Mala relación calidad precio
2580,Huawei,P60,Amazon,3,Neutral,pantalla,Tiene ventajas y desventajas según el uso
2581,Xiaomi,Poco X6,Mercado Libre,4,Positivo,rendimiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2582,Motorola,Moto G54,Amazon,1,Negativo,rendimiento,El equipo se calienta demasiado durante el uso
2583,Apple,iPhone 14,Tienda Oficial Apple,5,Positivo,batería,El servicio fue excelente y recibí el producto rápidamente
2584,Samsung,Galaxy A55,Mercado Libre,5,Positivo,pantalla,Muy satisfecho con la compra y el tiempo de entrega
2585,Samsung,Galaxy A35,Amazon,4,Positivo,cámara,Muy satisfecho con la compra y el tiempo de entrega
2586,Samsung,Galaxy A55,Tienda Oficial Samsung,4,Positivo,rendimiento,Muy buena cámara y excelente rendimiento
2587,Apple,iPhone 16e,Mercado Libre,3,Neutral,almacenamiento,El producto llegó correctamente aunque tardó algunos días
2588,Motorola,Moto G54,Mercado Libre,4,Positivo,almacenamiento,Llegó antes de la fecha prometida y en perfectas condiciones
2589,Xiaomi,Redmi Note 13,Amazon,4,Positivo,pantalla,Muy buena cámara y excelente rendimiento
2590,Huawei,P60,Tienda Oficial Huawei,4,Positivo,pantalla,Llegó antes de la fecha prometida y en perfectas condiciones
2591,Motorola,Moto G54,Tienda Oficial Motorola,4,Positivo,precio,Superó mis expectativas en rendimiento y batería
2592,Samsung,Galaxy S24,Tienda Oficial Samsung,3,Neutral,servicio al cliente,Tiene ventajas y desventajas según el uso
2593,Samsung,Galaxy A35,Tienda Oficial Samsung,5,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
2594,Samsung,Galaxy A55,Tienda Oficial Samsung,2,Negativo,rendimiento,La entrega se demoró demasiado y llegó fuera de la fecha prometida
2595,Huawei,P60,Tienda Oficial Huawei,3,Neutral,cámara,Tiene ventajas y desventajas según el uso
2596,Apple,iPhone 15,Amazon,5,Positivo,almacenamiento,"Gran relación calidad precio, recomendado"
2597,Huawei,Mate 50,Mercado Libre,5,Positivo,precio,Muy satisfecho con la compra y el tiempo de entrega
2598,Samsung,Galaxy S24,Tienda Oficial Samsung,1,Negativo,pantalla,Mala relación calidad precio
2599,Samsung,Galaxy S24,Mercado Libre,5,Positivo,precio,El servicio fue excelente y recibí el producto rápidamente
2600,Motorola,Moto G84,Amazon,1,Negativo,entrega,Mala relación calidad precio
2601,Apple,iPhone 16e,Amazon,4,Positivo,batería,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2602,Motorola,Moto G84,Amazon,2,Negativo,cámara,La entrega se demoró demasiado y llegó fuera de la fecha prometida
2603,Xiaomi,Poco X6,Amazon,4,Positivo,rendimiento,El servicio fue excelente y recibí el producto rápidamente
2604,Huawei,P60,Mercado Libre,4,Positivo,servicio al cliente,Muy buena cámara y excelente rendimiento
2605,Xiaomi,Redmi Note 14,Mercado Libre,4,Positivo,pantalla,Muy satisfecho con la compra y el tiempo de entrega
2606,Apple,iPhone 16e,Mercado Libre,3,Neutral,servicio al cliente,Es un equipo normal para el uso diario
2607,Huawei,P60,Tienda Oficial Huawei,3,Neutral,rendimiento,Es un equipo normal para el uso diario
2608,Huawei,Mate 50,Amazon,5,Positivo,cámara,Superó mis expectativas en rendimiento y batería
2609,Motorola,Moto G84,Tienda Oficial Motorola,4,Positivo,precio,"Gran relación calidad precio, recomendado"
2610,Samsung,Galaxy A55,Tienda Oficial Samsung,5,Positivo,cámara,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2611,Motorola,Moto G54,Mercado Libre,3,Neutral,servicio al cliente,La cámara es aceptable para su precio
2612,Apple,iPhone 15,Amazon,5,Positivo,servicio al cliente,La pantalla tiene muy buena calidad y la entrega fue puntual
2613,Motorola,Edge 50,Mercado Libre,5,Positivo,almacenamiento,Muy satisfecho con la compra y el tiempo de entrega
2614,Motorola,Moto G84,Amazon,5,Positivo,precio,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2615,Motorola,Moto G54,Tienda Oficial Motorola,5,Positivo,precio,"Gran relación calidad precio, recomendado"
2616,Apple,iPhone 15,Tienda Oficial Apple,2,Negativo,almacenamiento,La cámara no cumple con lo prometido
2617,Apple,iPhone 14,Tienda Oficial Apple,3,Neutral,precio,Tiene ventajas y desventajas según el uso
2618,Huawei,Mate 50,Tienda Oficial Huawei,5,Positivo,batería,Muy satisfecho con la compra y el tiempo de entrega
2619,Samsung,Galaxy A55,Tienda Oficial Samsung,5,Positivo,pantalla,El servicio fue excelente y recibí el producto rápidamente
2620,Xiaomi,Redmi Note 14,Tienda Oficial Xiaomi,3,Neutral,precio,El producto llegó correctamente aunque tardó algunos días
2621,Motorola,Edge 50,Mercado Libre,2,Negativo,precio,El rendimiento es lento para algunas aplicaciones
2622,Apple,iPhone 15,Tienda Oficial Apple,5,Positivo,almacenamiento,"Gran relación calidad precio, recomendado"
2623,Motorola,Edge 50,Tienda Oficial Motorola,4,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
2624,Huawei,Mate 50,Amazon,3,Neutral,almacenamiento,La cámara es aceptable para su precio
2625,Huawei,P60,Tienda Oficial Huawei,2,Negativo,almacenamiento,Presentó fallas después de pocos días
2626,Samsung,Galaxy A35,Amazon,5,Positivo,batería,El servicio fue excelente y recibí el producto rápidamente
2627,Xiaomi,Poco X6,Amazon,3,Neutral,almacenamiento,El celular cumple con lo esperado
2628,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,4,Positivo,servicio al cliente,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2629,Xiaomi,Redmi Note 13,Amazon,5,Positivo,almacenamiento,"Gran relación calidad precio, recomendado"
2630,Motorola,Edge 50,Mercado Libre,4,Positivo,servicio al cliente,Llegó antes de la fecha prometida y en perfectas condiciones
2631,Samsung,Galaxy A55,Tienda Oficial Samsung,5,Positivo,entrega,El servicio fue excelente y recibí el producto rápidamente
2632,Samsung,Galaxy A55,Amazon,1,Negativo,batería,Mala relación calidad precio
2633,Samsung,Galaxy A55,Amazon,2,Negativo,servicio al cliente,El rendimiento es lento para algunas aplicaciones
2634,Motorola,Edge 50,Mercado Libre,5,Positivo,precio,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2635,Huawei,P60,Amazon,3,Neutral,rendimiento,El celular cumple con lo esperado
2636,Motorola,Edge 50,Tienda Oficial Motorola,5,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
2637,Apple,iPhone 15,Tienda Oficial Apple,4,Positivo,precio,"Gran relación calidad precio, recomendado"
2638,Motorola,Moto G84,Tienda Oficial Motorola,4,Positivo,pantalla,"Gran relación calidad precio, recomendado"
2639,Xiaomi,Redmi Note 14,Amazon,4,Positivo,rendimiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2640,Motorola,Moto G84,Mercado Libre,4,Positivo,entrega,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2641,Huawei,Mate 50,Tienda Oficial Huawei,2,Negativo,pantalla,El rendimiento es lento para algunas aplicaciones
2642,Huawei,Nova 12,Tienda Oficial Huawei,3,Neutral,cámara,Es un equipo normal para el uso diario
2643,Apple,iPhone 14,Amazon,4,Positivo,rendimiento,La pantalla tiene muy buena calidad y la entrega fue puntual
2644,Xiaomi,Redmi Note 14,Tienda Oficial Xiaomi,4,Positivo,precio,Llegó antes de la fecha prometida y en perfectas condiciones
2645,Xiaomi,Poco X6,Mercado Libre,4,Positivo,precio,Muy satisfecho con la compra y el tiempo de entrega
2646,Motorola,Edge 50,Amazon,4,Positivo,pantalla,"Gran relación calidad precio, recomendado"
2647,Samsung,Galaxy A55,Tienda Oficial Samsung,4,Positivo,cámara,"Gran relación calidad precio, recomendado"
2648,Samsung,Galaxy A55,Tienda Oficial Samsung,5,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
2649,Samsung,Galaxy A35,Mercado Libre,1,Negativo,precio,La atención al cliente fue deficiente y la entrega tardó mucho
2650,Apple,iPhone 15,Mercado Libre,1,Negativo,precio,La batería dura muy poco
2651,Xiaomi,Redmi Note 14,Amazon,4,Positivo,pantalla,La pantalla tiene muy buena calidad y la entrega fue puntual
2652,Apple,iPhone 15,Tienda Oficial Apple,4,Positivo,pantalla,Llegó antes de la fecha prometida y en perfectas condiciones
2653,Huawei,P60,Amazon,4,Positivo,pantalla,Llegó antes de la fecha prometida y en perfectas condiciones
2654,Motorola,Moto G84,Amazon,5,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
2655,Samsung,Galaxy S24,Mercado Libre,5,Positivo,almacenamiento,Muy buena cámara y excelente rendimiento
2656,Huawei,Mate 50,Amazon,3,Neutral,batería,La batería tiene un rendimiento promedio
2657,Motorola,Edge 50,Mercado Libre,4,Positivo,servicio al cliente,Superó mis expectativas en rendimiento y batería
2658,Huawei,Nova 12,Tienda Oficial Huawei,5,Positivo,batería,El servicio fue excelente y recibí el producto rápidamente
2659,Apple,iPhone 16e,Tienda Oficial Apple,4,Positivo,pantalla,Muy satisfecho con la compra y el tiempo de entrega
2660,Xiaomi,Poco X6,Tienda Oficial Xiaomi,1,Negativo,cámara,La entrega se demoró demasiado y llegó fuera de la fecha prometida
2661,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,4,Positivo,servicio al cliente,"Gran relación calidad precio, recomendado"
2662,Motorola,Edge 50,Amazon,2,Negativo,cámara,La batería dura muy poco
2663,Apple,iPhone 14,Amazon,1,Negativo,precio,Presentó fallas después de pocos días
2664,Motorola,Moto G84,Amazon,4,Positivo,pantalla,Llegó antes de la fecha prometida y en perfectas condiciones
2665,Apple,iPhone 14,Amazon,4,Positivo,servicio al cliente,Llegó antes de la fecha prometida y en perfectas condiciones
2666,Samsung,Galaxy S24,Amazon,4,Positivo,entrega,El servicio fue excelente y recibí el producto rápidamente
2667,Motorola,Edge 50,Mercado Libre,3,Neutral,rendimiento,Tiene ventajas y desventajas según el uso
2668,Samsung,Galaxy A35,Amazon,5,Positivo,almacenamiento,La pantalla tiene muy buena calidad y la entrega fue puntual
2669,Apple,iPhone 15,Tienda Oficial Apple,3,Neutral,servicio al cliente,El producto llegó correctamente aunque tardó algunos días
2670,Huawei,Mate 50,Amazon,4,Positivo,batería,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2671,Motorola,Edge 50,Mercado Libre,4,Positivo,precio,Muy satisfecho con la compra y el tiempo de entrega
2672,Apple,iPhone 14,Amazon,4,Positivo,rendimiento,Superó mis expectativas en rendimiento y batería
2673,Apple,iPhone 15,Tienda Oficial Apple,5,Positivo,servicio al cliente,Superó mis expectativas en rendimiento y batería
2674,Xiaomi,Redmi Note 13,Amazon,5,Positivo,cámara,Superó mis expectativas en rendimiento y batería
2675,Huawei,Nova 12,Tienda Oficial Huawei,2,Negativo,batería,La cámara no cumple con lo prometido
2676,Xiaomi,Poco X6,Tienda Oficial Xiaomi,4,Positivo,entrega,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2677,Xiaomi,Poco X6,Tienda Oficial Xiaomi,1,Negativo,entrega,El rendimiento es lento para algunas aplicaciones
2678,Xiaomi,Redmi Note 14,Amazon,2,Negativo,pantalla,La cámara no cumple con lo prometido
2679,Samsung,Galaxy S24,Tienda Oficial Samsung,4,Positivo,almacenamiento,Superó mis expectativas en rendimiento y batería
2680,Samsung,Galaxy A55,Tienda Oficial Samsung,4,Positivo,batería,La pantalla tiene muy buena calidad y la entrega fue puntual
2681,Huawei,Mate 50,Amazon,1,Negativo,pantalla,La entrega se demoró demasiado y llegó fuera de la fecha prometida
2682,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,3,Neutral,cámara,La cámara es aceptable para su precio
2683,Motorola,Edge 50,Amazon,2,Negativo,pantalla,El rendimiento es lento para algunas aplicaciones
2684,Huawei,P60,Mercado Libre,3,Neutral,cámara,El producto llegó correctamente aunque tardó algunos días
2685,Samsung,Galaxy A35,Tienda Oficial Samsung,2,Negativo,batería,Presentó fallas después de pocos días
2686,Motorola,Moto G84,Amazon,4,Positivo,entrega,Muy satisfecho con la compra y el tiempo de entrega
2687,Apple,iPhone 16e,Amazon,3,Neutral,precio,Es un equipo normal para el uso diario
2688,Apple,iPhone 16e,Mercado Libre,2,Negativo,cámara,La cámara no cumple con lo prometido
2689,Xiaomi,Redmi Note 14,Amazon,1,Negativo,entrega,La cámara no cumple con lo prometido
2690,Samsung,Galaxy A55,Tienda Oficial Samsung,4,Positivo,cámara,La pantalla tiene muy buena calidad y la entrega fue puntual
2691,Xiaomi,Poco X6,Tienda Oficial Xiaomi,5,Positivo,cámara,Muy satisfecho con la compra y el tiempo de entrega
2692,Huawei,Mate 50,Amazon,4,Positivo,servicio al cliente,El servicio fue excelente y recibí el producto rápidamente
2693,Huawei,Mate 50,Mercado Libre,1,Negativo,cámara,El equipo se calienta demasiado durante el uso
2694,Samsung,Galaxy A35,Amazon,5,Positivo,entrega,El servicio fue excelente y recibí el producto rápidamente
2695,Samsung,Galaxy A35,Amazon,1,Negativo,batería,Mala relación calidad precio
2696,Xiaomi,Poco X6,Tienda Oficial Xiaomi,4,Positivo,entrega,Muy buena cámara y excelente rendimiento
2697,Samsung,Galaxy S24,Mercado Libre,3,Neutral,almacenamiento,Tiene ventajas y desventajas según el uso
2698,Huawei,Nova 12,Amazon,3,Neutral,pantalla,La batería tiene un rendimiento promedio
2699,Huawei,Nova 12,Amazon,5,Positivo,entrega,Llegó antes de la fecha prometida y en perfectas condiciones
2700,Apple,iPhone 14,Amazon,5,Positivo,rendimiento,"Gran relación calidad precio, recomendado"
2701,Xiaomi,Redmi Note 14,Amazon,5,Positivo,cámara,Llegó antes de la fecha prometida y en perfectas condiciones
2702,Apple,iPhone 14,Tienda Oficial Apple,4,Positivo,almacenamiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2703,Samsung,Galaxy A55,Tienda Oficial Samsung,4,Positivo,pantalla,"Gran relación calidad precio, recomendado"
2704,Huawei,Nova 12,Tienda Oficial Huawei,5,Positivo,rendimiento,Llegó antes de la fecha prometida y en perfectas condiciones
2705,Apple,iPhone 16e,Amazon,4,Positivo,precio,El servicio fue excelente y recibí el producto rápidamente
2706,Apple,iPhone 14,Tienda Oficial Apple,2,Negativo,entrega,La cámara no cumple con lo prometido
2707,Samsung,Galaxy A35,Amazon,3,Neutral,almacenamiento,Tiene ventajas y desventajas según el uso
2708,Samsung,Galaxy A35,Tienda Oficial Samsung,1,Negativo,entrega,La atención al cliente fue deficiente y la entrega tardó mucho
2709,Huawei,Mate 50,Tienda Oficial Huawei,3,Neutral,entrega,El producto llegó correctamente aunque tardó algunos días
2710,Huawei,Mate 50,Tienda Oficial Huawei,2,Negativo,precio,La cámara no cumple con lo prometido
2711,Samsung,Galaxy A35,Amazon,2,Negativo,entrega,El rendimiento es lento para algunas aplicaciones
2712,Huawei,P60,Mercado Libre,1,Negativo,cámara,Mala relación calidad precio
2713,Apple,iPhone 15,Tienda Oficial Apple,5,Positivo,pantalla,Superó mis expectativas en rendimiento y batería
2714,Xiaomi,Poco X6,Tienda Oficial Xiaomi,5,Positivo,batería,La pantalla tiene muy buena calidad y la entrega fue puntual
2715,Xiaomi,Poco X6,Amazon,4,Positivo,servicio al cliente,El servicio fue excelente y recibí el producto rápidamente
2716,Apple,iPhone 16e,Mercado Libre,5,Positivo,servicio al cliente,Muy satisfecho con la compra y el tiempo de entrega
2717,Samsung,Galaxy A35,Tienda Oficial Samsung,2,Negativo,servicio al cliente,La atención al cliente fue deficiente y la entrega tardó mucho
2718,Motorola,Edge 50,Tienda Oficial Motorola,2,Negativo,almacenamiento,Presentó fallas después de pocos días
2719,Samsung,Galaxy A35,Tienda Oficial Samsung,1,Negativo,almacenamiento,El rendimiento es lento para algunas aplicaciones
2720,Apple,iPhone 15,Tienda Oficial Apple,4,Positivo,precio,El servicio fue excelente y recibí el producto rápidamente
2721,Huawei,Mate 50,Amazon,3,Neutral,almacenamiento,El producto llegó correctamente aunque tardó algunos días
2722,Huawei,Nova 12,Tienda Oficial Huawei,5,Positivo,pantalla,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2723,Motorola,Moto G84,Tienda Oficial Motorola,3,Neutral,batería,Tiene ventajas y desventajas según el uso
2724,Apple,iPhone 15,Amazon,4,Positivo,almacenamiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2725,Huawei,Nova 12,Tienda Oficial Huawei,3,Neutral,precio,El producto llegó correctamente aunque tardó algunos días
2726,Samsung,Galaxy A55,Tienda Oficial Samsung,3,Neutral,rendimiento,Es un equipo normal para el uso diario
2727,Samsung,Galaxy S24,Amazon,2,Negativo,servicio al cliente,La entrega se demoró demasiado y llegó fuera de la fecha prometida
2728,Huawei,P60,Amazon,5,Positivo,servicio al cliente,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2729,Samsung,Galaxy A55,Tienda Oficial Samsung,2,Negativo,entrega,La entrega se demoró demasiado y llegó fuera de la fecha prometida
2730,Huawei,Mate 50,Tienda Oficial Huawei,5,Positivo,precio,La pantalla tiene muy buena calidad y la entrega fue puntual
2731,Samsung,Galaxy A35,Tienda Oficial Samsung,2,Negativo,servicio al cliente,El rendimiento es lento para algunas aplicaciones
2732,Apple,iPhone 16e,Tienda Oficial Apple,1,Negativo,batería,La atención al cliente fue deficiente y la entrega tardó mucho
2733,Xiaomi,Redmi Note 14,Amazon,5,Positivo,rendimiento,Superó mis expectativas en rendimiento y batería
2734,Samsung,Galaxy A55,Tienda Oficial Samsung,3,Neutral,almacenamiento,La cámara es aceptable para su precio
2735,Xiaomi,Poco X6,Amazon,5,Positivo,almacenamiento,El servicio fue excelente y recibí el producto rápidamente
2736,Huawei,P60,Mercado Libre,5,Positivo,batería,Llegó antes de la fecha prometida y en perfectas condiciones
2737,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,5,Positivo,entrega,Llegó antes de la fecha prometida y en perfectas condiciones
2738,Motorola,Moto G54,Amazon,3,Neutral,pantalla,El celular cumple con lo esperado
2739,Huawei,Nova 12,Tienda Oficial Huawei,5,Positivo,almacenamiento,"Excelente celular, la batería dura todo el día y la entrega fue rápida"
2740,Motorola,Moto G54,Tienda Oficial Motorola,3,Neutral,almacenamiento,El producto llegó correctamente aunque tardó algunos días
2741,Motorola,Edge 50,Mercado Libre,2,Negativo,entrega,La cámara no cumple con lo prometido
2742,Samsung,Galaxy A55,Mercado Libre,4,Positivo,cámara,La pantalla tiene muy buena calidad y la entrega fue puntual
2743,Motorola,Edge 50,Tienda Oficial Motorola,4,Positivo,batería,"Gran relación calidad precio, recomendado"
2744,Apple,iPhone 15,Amazon,3,Neutral,cámara,Es un equipo normal para el uso diario
2745,Apple,iPhone 15,Amazon,2,Negativo,servicio al cliente,La cámara no cumple con lo prometido
2746,Apple,iPhone 14,Amazon,2,Negativo,precio,Mala relación calidad precio
2747,Xiaomi,Redmi Note 13,Mercado Libre,4,Positivo,precio,Superó mis expectativas en rendimiento y batería
2748,Samsung,Galaxy S24,Tienda Oficial Samsung,5,Positivo,servicio al cliente,Muy buena cámara y excelente rendimiento
2749,Apple,iPhone 15,Tienda Oficial Apple,3,Neutral,batería,La cámara es aceptable para su precio
2750,Motorola,Edge 50,Tienda Oficial Motorola,5,Positivo,almacenamiento,Muy satisfecho con la compra y el tiempo de entrega
2751,Xiaomi,Redmi Note 14,Mercado Libre,2,Negativo,almacenamiento,Presentó fallas después de pocos días
2752,Samsung,Galaxy S24,Tienda Oficial Samsung,1,Negativo,servicio al cliente,Presentó fallas después de pocos días
2753,Motorola,Edge 50,Tienda Oficial Motorola,4,Positivo,servicio al cliente,"Gran relación calidad precio, recomendado"
2754,Xiaomi,Redmi Note 13,Mercado Libre,4,Positivo,cámara,"Gran relación calidad precio, recomendado"
2755,Huawei,Mate 50,Mercado Libre,3,Neutral,servicio al cliente,El producto llegó correctamente aunque tardó algunos días
2756,Huawei,Nova 12,Amazon,5,Positivo,pantalla,Muy satisfecho con la compra y el tiempo de entrega
2757,Xiaomi,Redmi Note 13,Tienda Oficial Xiaomi,2,Negativo,pantalla,La entrega se demoró demasiado y llegó fuera de la fecha prometida
2758,Motorola,Moto G84,Tienda Oficial Motorola,2,Negativo,entrega,El equipo se calienta demasiado durante el uso
2759,Motorola,Edge 50,Tienda Oficial Motorola,3,Neutral,batería,El celular cumple con lo esperado
2760,Huawei,Mate 50,Mercado Libre,4,Positivo,servicio al cliente,La pantalla tiene muy buena calidad y la entrega fue puntual
2761,Motorola,Moto G54,Mercado Libre,4,Positivo,entrega,El servicio fue excelente y recibí el producto rápidamente
2762,Huawei,Nova 12,Amazon,4,Positivo,entrega,La pantalla tiene muy buena calidad y la entrega fue puntual
2763,Apple,iPhone 16e,Mercado Libre,3,Neutral,precio,El celular cumple con lo esperado
2764,Huawei,Mate 50,Amazon,1,Negativo,cámara,Mala relación calidad precio
2765,Apple,iPhone 15,Amazon,3,Neutral,precio,Tiene ventajas y desventajas según el uso
2766,Samsung,Galaxy A35,Tienda Oficial Samsung,2,Negativo,almacenamiento,La cámara no cumple con lo prometido
2767,Motorola,Moto G54,Tienda Oficial Motorola,3,Neutral,almacenamiento,El producto llegó correctamente aunque tardó algunos días
2768,Huawei,Mate 50,Mercado Libre,5,Positivo,precio,Superó mis expectativas en rendimiento y batería
2769,Huawei,P60,Amazon,3,Neutral,cámara,El producto llegó correctamente aunque tardó algunos días
2770,Samsung,Galaxy A55,Tienda Oficial Samsung,4,Positivo,servicio al cliente,Llegó antes de la fecha prometida y en perfectas condiciones
